last_name,race
Ihde,white
Ganju,white
Khoobyar,white
Louderback,white
"Pearlman,",white
Hugi,white
Eastbury,white
Maintz,white
Croes,white
Kohlhardt,white
Matray,white
Shehan,white
Ehly,white
Quintanilla,hispanic
Lissak,white
DeBrusk,white
Zvagelsky,white
Gimelberg,white
Liberti,white
Matzelle,white
Laffoon,white
Takasuka,api
Hamaguchi,api
Marban,white
Bolik,white
Kalkowski,white
Wasmuth,white
Plaehn,white
Loges,white
Calian,white
Sidlosky,white
Karlan,white
Brillhart,white
Purnaiya,api
Binnun,white
Tirupathy,white
Marouani,white
Molovinsky,white
Eichinger,white
Ferenczy,white
Baerhold,white
Digiaro,white
Tanz,white
Keighran,white
Annunziata,white
Vernaeve,white
Vandenberk,white
Manhas,white
Bordes,white
Gutelzon,white
Shanman,white
Visnick,white
Glembotzky,white
Nikolai,white
Strickman,white
Dousharm,white
Kusel,white
Muscutt,white
Seales,white
Madathil,white
Bodie,white
edwards,white
Caralicea,hispanic
Bomholt,white
Eppert,white
Kelton,white
Payomo,hispanic
Braunfeld,white
Hernadez,hispanic
Beukelman,white
Bozinovic,white
Katsur,white
Jadar,white
Halimi,white
Hallesby,white
Lebens,white
Baudanza,white
Zeuner,white
Mihaly,white
Kohnert,white
Brandenberg,white
Cenedella,white
Turtledove,white
Douzet,white
Bridgham,white
Barback,white
Vaseleak,white
Manchella,white
Pemmasani,white
Cospolich,white
Mayeux,white
Aimonetti,white
Corshen,white
Popler,white
Vany,white
Hoydich,white
Sawicki,white
Lawee,white
Betyar,white
Forstot,white
Swinmurn,white
Bardon,white
Algard,white
Hayre,white
Kolner,white
Netelenbos,hispanic
Ruthfield,white
Schutzler,white
Benayoun,white
Zubalsky,white
Kottke,white
Johanesen,white
Buth,white
Gundaiah,white
Feinbaum,white
Hoffert,white
Mansson,white
Marlov,white
Londahl,white
Mardell,white
Bjore,white
Abouchar,white
Martinsson,white
Ruela,hispanic
Biniak,white
Yongfook,white
Hallem,white
Cheif,white
Africk,white
Berggren,white
Schliker,white
Eppinger,white
Hullot,white
Serani,white
Rompre,white
Makharinsky,white
Roeckl,white
Pocalles,hispanic
Farantzos,hispanic
Schellscheidt,white
Nelon,white
Sathianathan,api
Koister,white
Rothbart,white
Sotto,white
Usina,white
Headey,white
Pawlyn,white
Rentzke,white
Karunamuni,api
Lougher,white
Ulen,white
Suppes,white
Chafi,white
Vikingstad,white
Garbow,white
Olukotun,white
Goltsev,white
Grzhonko,white
Loeffen,white
Mazingue,white
Aktihanoglu,white
Gullicksen,white
Morgenthaler,white
Laufik,white
Bettinelli,white
LATRIE,white
Meydad,white
Bilefield,white
Imielinski,white
Osako,white
Stockford,white
McGilloway,white
Werhley,white
Pennello,white
Dintenfass,white
Hovis,white
Schiesz,white
Genachowski,white
Norrstrand,white
Cotal,hispanic
Koziarski,white
Otellini,white
Dotsch,white
Hoogerhuis,white
Morgner,white
Jasinskyj,white
Aasman,white
Misso,white
Chapweske,white
Arace,white
